A0: 178
2025-02-13 14:56:55.971384Ax: 1023
2025-02-13 14:56:55.971615A1: 496
2025-02-13 14:56:55.971782A0: 177
2025-02-13 14:56:56.995332Ax: 1023
2025-02-13 14:56:56.995564A1: 495
2025-02-13 14:56:56.995732A0: 178
2025-02-13 14:56:58.019017Ax: 1023
2025-02-13 14:56:58.019251A1: 496
2025-02-13 14:56:58.019462A0: 178
2025-02-13 14:56:59.042817Ax: 1023
2025-02-13 14:56:59.043047A1: 496
2025-02-13 14:56:59.043225A0: 177
2025-02-13 14:57:00.066435Ax: 1023
2025-02-13 14:57:00.066670A1: 495
2025-02-13 14:57:00.066887A0: 178
2025-02-13 14:57:01.090291Ax: 1023
2025-02-13 14:57:01.090504A1: 496
2025-02-13 14:57:01.090602A0: 179
2025-02-13 14:57:02.114134Ax: 1023
2025-02-13 14:57:02.114370A1: 495
2025-02-13 14:57:02.114496A0: 179
2025-02-13 14:57:03.137863Ax: 1023
2025-02-13 14:57:03.138098A1: 496
2025-02-13 14:57:03.138286A0: 179
2025-02-13 14:57:04.161650Ax: 1023
2025-02-13 14:57:04.161921A1: 495
2025-02-13 14:57:04.162110A0: 177
2025-02-13 14:57:05.185564Ax: 1023
2025-02-13 14:57:05.185832A1: 494
2025-02-13 14:57:05.186023A0: 178
2025-02-13 14:57:06.209359Ax: 1023
2025-02-13 14:57:06.209591A1: 496
2025-02-13 14:57:06.209816A0: 178
2025-02-13 14:57:07.233143Ax: 1023
2025-02-13 14:57:07.233381A1: 495
2025-02-13 14:57:07.233569A0: 178
2025-02-13 14:57:08.256888Ax: 1023
2025-02-13 14:57:08.257126A1: 494
2025-02-13 14:57:08.257257A0: 180
2025-02-13 14:57:09.280421Ax: 1023
2025-02-13 14:57:09.280655A1: 495
2025-02-13 14:57:09.280888A0: 179
2025-02-13 14:57:10.304380Ax: 1023
2025-02-13 14:57:10.304631A1: 495
2025-02-13 14:57:10.304856A0: 178
2025-02-13 14:57:11.328243Ax: 1023
2025-02-13 14:57:11.328482A1: 496
2025-02-13 14:57:11.328668A0: 177
2025-02-13 14:57:12.352078Ax: 1023
2025-02-13 14:57:12.352319A1: 496
2025-02-13 14:57:12.352510A0: 178
2025-02-13 14:57:13.375859Ax: 1023
2025-02-13 14:57:13.376033A1: 495
2025-02-13 14:57:13.376129A0: 179
2025-02-13 14:57:14.399641Ax: 1023
2025-02-13 14:57:14.399918A1: 495
2025-02-13 14:57:14.400023A0: 178
2025-02-13 14:57:15.423526Ax: 1023
